Time Stamps (s),Values,Labels,punc,dvop_next,dvop_prev,dx_next,dx_prev,dy_next,dy_prev,delta_next,delta_prev
22.0,1.0,H, ,0.06899999999999906,0.2079999999999984,0.07499999999999929,0.16000000000000014,-1.0,0.0,-13.33333333333346,0.0
22.075,0.0,M, ,0.11400000000000077,0.006000000000000227,0.15000000000000213,0.07499999999999929,0.0,-1.0,0.0,-13.33333333333346
22.225,0.0,M, ,0.09999999999999787,0.036000000000001364,0.10499999999999687,0.15000000000000213,0.0,0.0,0.0,0.0
22.33,0.0,M, ,0.4250000000000007,0.004999999999999005,0.28000000000000114,0.10499999999999687,0.0,0.0,0.0,0.0
22.61,0.0,M, ,0.14499999999999957,0.28500000000000014,0.16000000000000014,0.28000000000000114,0.0,0.0,0.0,0.0
22.77,0.0,M, ,0.12300000000000111,0.015000000000000568,0.129999999999999,0.16000000000000014,-1.0,0.0,-7.692307692307751,0.0
22.9,-1.0,L, ,0.1509999999999998,0.006999999999997897,0.20500000000000185,0.129999999999999,1.0,-1.0,4.878048780487761,-7.692307692307751
23.105,0.0,M, ,0.006999999999997897,0.054000000000002046,0.08999999999999986,0.20500000000000185,0.0,1.0,0.0,4.878048780487761
23.195,0.0,M, ,0.16499999999999915,0.0070000000000014495,0.16999999999999815,0.08999999999999986,0.0,0.0,0.0,0.0
23.365,0.0,M, ,0.10800000000000054,0.004999999999999005,0.120000000000001,0.16999999999999815,-1.0,0.0,-8.333333333333265,0.0
23.485,-1.0,L, ,0.11899999999999977,0.012000000000000455,0.16499999999999915,0.120000000000001,0.0,-1.0,0.0,-8.333333333333265
23.65,-1.0,L, ,0.11700000000000088,0.003999999999997783,0.15000000000000213,0.16499999999999915,1.0,0.0,6.666666666666572,0.0
23.8,0.0,M, ,0.29100000000000037,0.0070000000000014495,0.17999999999999972,0.15000000000000213,-1.0,1.0,-5.555555555555564,6.666666666666572
23.98,-1.0,L, ,0.11100000000000065,0.18700000000000117,0.11499999999999844,0.17999999999999972,2.0,-1.0,17.391304347826324,-5.555555555555564
24.095,1.0,H-H, ,0.8130000000000024,0.003999999999997783,0.740000000000002,0.11499999999999844,-2.0,2.0,-2.7027027027026955,17.391304347826324
24.835,-1.0,L, ,0.0730000000000004,0.7439999999999998,0.134999999999998,0.740000000000002,1.0,-2.0,7.407407407407517,-2.7027027027026955
