rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
14.767	14.766717687074829	14.871717687074845	90	105	92	94	78.76	92	92	92	92	78.41	0	0	-1.83	0	0	0	0	12	12	0	0.10500000000001641	0	0	0	0.085	0	74	0	1	0	0	0	0.2350000000000012
15.002	15.00171768707483	15.076717687074842	86	101	91	92	78.36	101	86	86	101	79.97	-1	-2.7	1.68	0	-2.7	2.7	0	24	4	-21	0.07500000000001172	0	0	0	0.13	0	64.9	0	1	1	0	1.075	0.07500000000001172
16.152	16.15171768707483	16.261717687074807	163	177	173	171	89.06	173	173	173	173	89.25	0	0	12.14	0	0	0	0	92	92	0	0.10999999999997812	0	0	0	1.075	0	77.4	0	1	0	1	0	0.21999999999999886
16.372	16.371717687074828	16.441717687074814	182	199	195	192	91.06	195	195	195	195	91.31	0	0	2.1	0	0	0	0	100	100	0	0.06999999999998607	0	0	0	0.11	0	74.7	0	1	0	0	0	0.15000000000000213
16.522	16.52171768707483	16.62171768707481	138	156	155	152	87.06	155	155	155	155	87.42	0	0	-3.87	0	0	0	0	78	78	0	0.0999999999999801	0	0	0	0.08	0	76.5	0	1	0	0	0	0.36999999999999744
16.892	16.891717687074827	17.0367176870748	158	173	162	164	88.34	162	162	162	162	88.1	0	0	0.79	0	0	0	0	83	83	0	0.14499999999997115	0	0	0	0.27	0	81.3	0	1	0	0	0	0.16499999999999915
17.057	17.056717687074826	17.1967176870748	151	181	175	173	89.24	175	175	175	175	89.5	0	0	1.42	0	0	0	0	93	93	0	0.13999999999997215	0	0	0	0.02	0	77.2	0	1	0	0	0	0.27500000000000213
17.332	17.33171768707483	17.491717687074797	133	163	155	151	86.91	133	153	133	163	88.21	1	3.51	-4.72	3.51	0	3.51	0	59	76	25	0.15999999999996817	0	0	0	0.135	0	80.9	0	1	0	0	0	0.41499999999999915
17.747	17.746717687074828	17.796717687074818	145	151	149	149	86.66	149	149	149	149	86.69	0	0	-0.4	0	0	0	0	73	73	0	0.04999999999999005	0	0	0	0.255	0	79.5	0	1	0	0	0	0.19000000000000128
17.937	17.93671768707483	18.021717687074812	167	187	182	180	89.98	182	182	182	182	90.18	0	0	3.55	0	0	0	0	98	98	0	0.08499999999998309	0	0	0	0.14	0	76.5	0	1	0	0	0	0.129999999999999
18.067	18.066717687074828	18.096717687074822	179	184	182	181	90.09	182	182	182	182	90.13	0	0	0.04	0	0	0	0	98	98	0	0.02999999999999403	0	0	0	0.045	0	60.9	0	1	1	0	1.33	0.02999999999999403
19.427	19.426717687074827	19.50671768707481	106	119	119	118	82.66	119	119	119	119	82.76	0	0	-7.34	0	0	0	0	45	45	0	0.07999999999998408	0	0	0	1.33	0	81.9	0	1	0	1	0	0.26000000000000156
19.687	19.68671768707483	19.756717687074815	115	133	123	123	83.42	123	123	123	123	83.45	0	0	0.71	0	0	0	0	49	49	0	0.06999999999998607	0	0	0	0.18	0	72.6	0	1	0	0	0	0.254999999999999
19.942	19.941717687074828	20.021717687074812	107	113	112	111	81.61	112	112	112	112	81.7	0	0	-1.61	0	0	0	0	37	37	0	0.07999999999998408	0	0	0	0.185	0	77.6	0	1	0	0	0	0.16499999999999915
20.107	20.106717687074827	20.161717687074816	115	120	118	118	82.65	118	118	118	118	82.7	0	0	1.01	0	0	0	0	44	44	0	0.05499999999998906	0	0	0	0.085	0	77.5	0	1	0	0	0	0.1700000000000017
20.277	20.27671768707483	20.331717687074818	99	106	103	103	80.33	103	103	103	103	80.3	0	0	-2.29	0	0	0	0	27	27	0	0.05499999999998906	0	0	0	0.115	0	74.3	0	1	0	0	0	0.1750000000000007
20.452	20.45171768707483	20.49671768707482	98	105	103	102	80.23	103	103	103	103	80.31	0	0	0.08	0	0	0	0	27	27	0	0.04499999999999105	0	0	0	0.12	0	70.3	0	1	0	0	0	0.15499999999999758
20.607	20.606717687074827	20.706717687074807	85	96	92	92	78.28	96	85	85	96	79.11	-1	-2.16	-1.12	0	-2.16	2.16	0	18	2	-16	0.0999999999999801	0	0	0	0.11	0	66.1	0	1	1	0	0.81	0.0999999999999801
21.517	21.516717687074827	21.60171768707481	109	117	116	115	82.28	116	116	116	116	82.4	0	0	5.48	0	0	0	0	41	41	0	0.08499999999998309	0	0	0	0.81	0	74.8	0	1	0	1	0	0.25500000000000256
21.772	21.77171768707483	21.846717687074815	101	120	109	110	81.44	109	109	109	109	81.3	0	0	-1	0	0	0	0	34	34	0	0.07499999999998508	0	0	0	0.17	0	71.1	0	1	0	0	0	0.17999999999999972
21.952	21.95171768707483	21.981717687074823	88	92	90	89	77.87	90	90	90	90	77.92	0	0	-3.3	0	0	0	0	10	10	0	0.02999999999999403	0	0	0	0.105	0	63.7	0	1	0	0	0	0.08999999999999986
22.042	22.04171768707483	22.09671768707482	79	85	81	81	76.16	81	81	81	81	76.24	0	0	-1.66	0	0	0	0	0	0	0	0.05499999999998906	0	0	0	0.06	0	62.9	0	1	1	0	0.752	0.05499999999998906
